spc_latin,spc_common,count
Platanus x acerifolia,London planetree,87014
Gleditsia triacanthos var. inermis,honeylocust,64264
Pyrus calleryana,Callery pear,58931
Quercus palustris,pin oak,53185
Acer platanoides,Norway maple,34189
Tilia cordata,littleleaf linden,29742
Prunus,cherry,29279
Zelkova serrata,Japanese zelkova,29258
Ginkgo biloba,ginkgo,21024
Styphnolobium japonicum,Sophora,19338
Acer rubrum,red maple,17246
Fraxinus pennsylvanica,green ash,16251
Tilia americana,American linden,13530
Acer saccharinum,silver maple,12277
Liquidambar styraciflua,sweetgum,10657
Quercus rubra,northern red oak,8400
Tilia tomentosa,silver linden,7995
Ulmus americana,American elm,7975
Acer,maple,7080
Prunus cerasifera,purple-leaf plum,6879
Quercus bicolor,swamp white oak,6598
Acer platanoides 'Crimson King',crimson king maple,5923
Ulmus parvifolia,Chinese elm,5345
Prunus virginiana,'Schubert' chokecherry,4888
Syringa reticulata,Japanese tree lilac,4568
Cercis canadensis,eastern redbud,3801
Koelreuteria paniculata,golden raintree,3719
Malus,crab apple,3527
Gymnocladus dioicus,Kentucky coffeetree,3364
Quercus phellos,willow oak,3184
Metasequoia glyptostroboides,dawn redwood,3020
Crataegus,hawthorn,2988
Acer saccharum,sugar maple,2844
Acer pseudoplatanus,sycamore maple,2731
Fraxinus,ash,2609
Acer campestre,hedge maple,2550
Celtis occidentalis,common hackberry,2382
Quercus acutissima,sawtooth oak,2244
Maackia amurensis,Amur maackia,2197
Carpinus betulus,European hornbeam,2099
Acer ginnala,Amur maple,2049
Amelanchier,serviceberry,2032
Robinia pseudoacacia,black locust,1784
Quercus alba,white oak,1686
Quercus robur,English oak,1644
Ulmus pumila,Siberian elm,1595
Cornus florida,flowering dogwood,1552
Carpinus caroliniana,American hornbeam,1517
Quercus shumardii,Schumard's oak,1487
Quercus coccinea,scarlet oak,1465
Quercus velutina,black oak,1327
Taxodium distichum,bald cypress,1261
Morus,mulberry,1157
Acer palmatum,Japanese maple,1130
Fraxinus americana,white ash,1121
Juniperus virginiana,eastern redcedar,1101
Aesculus hippocastanum,horse chestnut,1096
Ostrya virginiana,American hophornbeam,1081
Liriodendron tulipifera,tulip-poplar,1076
Cornus mas,Cornelian cherry,1066
Quercus imbricaria,shingle oak,1049
Eucommia ulmoides,hardy rubber tree,915
Cercidiphyllum japonicum,katsura tree,911
Ailanthus altissima,tree of heaven,756
Magnolia,magnolia,699
Prunus serotina,black cherry,607
Betula nigra,river birch,565
Catalpa,catalpa,551
Betula papyrifera,paper birch,535
Quercus macrocarpa,bur oak,515
Cladrastis kentukea,Kentucky yellowwood,479
Syringa pekinensis,Chinese tree lilac,462
Lagerstroemia,crepe myrtle,442
Carpinus japonica,Japanese hornbeam,426
Styrax japonicus,Japanese snowbell,392
Picea abies,Norway spruce,355
Chamaecyparis thyoides,Atlantic white cedar,355
Crataegus crusgalli var. inermis,cockspur hawthorn,341
Thuja occidentalis,arborvitae,328
Corylus colurna,Turkish hazelnut,317
Cornus kousa,kousa dogwood,302
Betula pendula,silver birch,300
Juglans nigra,black walnut,295
Pinus,pine,289
Nyssa sylvatica,blackgum,288
Salix babylonica,weeping willow,282
Cornus alternifolia,pagoda dogwood,280
Parrotia persica,Persian ironwood,277
Populus deltoides,eastern cottonwood,276
Fagus grandifolia,American beech,273
Paulownia tomentosa,empress tree,245
Chionanthus retusus,Chinese fringetree,234
Halesia diptera,two-winged silverbell,221
Acer griseum,paperbark maple,220
Cercis reniformis,Oklahoma redbud,219
Pinus strobus,white pine,202
Picea,spruce,202
Phellodendron amurense,Amur cork tree,183
Taxodium ascendens,pond cypress,181
Castanea mollissima,Chinese chestnut,173
Sassafras albidum,sassafras,171
Magnolia acuminata,cucumber magnolia,169
Albizia julibrissin,mimosa,163
Acer tataricum,tartar maple,153
Ilex,holly,138
Magnolia grandiflora,southern magnolia,132
Picea pungens,blue spruce,126
Fagus sylvatica,European beech,125
Aesculus x carnea,red horse chestnut,116
Acer nigrum,black maple,114
Acer buergerianum,trident maple,110
Chamaecyparis pisifera,false cypress,108
Pinus resinosa,red pine,106
Carya glabra,pignut hickory,99
Populus grandidentata,bigtooth aspen,94
Tsuga canadensis,eastern hemlock,88
Cedrus atlantica,Atlas cedar,87
Pseudotsuga menziesii,Douglas-fir,85
Quercus falcata,southern red oak,83
Populus tremuloides,quaking aspen,83
Aesculus glabra,Ohio buckeye,75
Cedrus deodara,Himalayan cedar,72
Acer negundo,boxelder,64
Acer truncatum,Shantung maple,59
Cotinus coggygria,smoketree,58
Alnus glutinosa,European alder,47
Larix laricina,American larch,46
Pinus nigra,black pine,37
Pinus rigida,pitch pine,33
Maclura pomifera,Osage-orange,29
Pinus sylvestris,Scots pine,25
Pinus virginiana,Virginia pine,10
